	Ja, wir haben konkrete Pläne.	Ja, schon daran gedacht.	Nein, wir haben kein Bedürfnis.	Keine Angabe
*Familienform				
Einelternfamilie (n=272)	8.1	37.5	54.0	0.4
Zweielternfamilie (n=1 372)	10.8	29.8	58.5	0.9
*Anzahl Kinder				
1 Kind (n=562)	13.9	34.7	50.5	0.9
2 Kinder (n=750)	10.0	28.3	61.3	0.4
3 Kinder u.m. (n=353)	6.5	31.4	60.6	1.4
*Alter jüngstes Kind				
0-4 Jahre (n=610)	19.7	39.7	39.5	1.1
5-8 Jahre (n=364)	5.5	32.7	61.0	0.8
9-12 Jahre (n=277)	5.1	21.7	72.6	0.7
13-17 Jahre (n=389)	4.9	23.7	71.5	0.0
*Bildungsniveau Eltern				
Obligat. Schule (n=105)	10.5	38.1	48.6	2.9
Sekundarstufe II (n=553)	8.9	33.3	56.8	1.1
Tertiärstufe (n=983)	11.5	29.0	59.1	0.4
*Haushaltssprache				
ch/dt (n=870)	10.1	27.2	62.2	0.5
ch/dt und andere (n=516)	10.9	34.7	53.7	0.8
nur andere (n=246)	11.0	37.0	50.0	2.0
*Haushaltseinkommen				
<3 000 Fr. (n=111)	15.3	40.5	41.4	2.7
3 000-7 499 Fr. (n=580)	11.7	37.9	49.3	1.0
>7 499 Fr. (n=855)	9.7	25.4	64.8	0.1
*Wahlkreis				
Grossbasel Ost (n=415)	13.0	32.3	54.7	0.0
Grossbasel West (n=585)	9.9	31.5	57.9	0.7
Kleinbasel (n=376)	13.8	36.2	48.4	1.6
Riehen, Bettingen (n=253)	4.3	20.9	74.3	0.4
*Befragungsjahr				
2009 (N=3 119)	11.1	32.8	54.4	1.7
2013 (N=2 231)	11.2	30.7	57.9	0.2
2017 (N=1 665)	10.6	31.1	57.5	0.8
